Side,Shoulder_Angle,Elbow_Angle,Hip_Angle,Knee_Angle,Ankle_Angle,Shoulder_Ground_Angle,Elbow_Ground_Angle,Hip_Ground_Angle,Knee_Ground_Angle,Ankle_Ground_Angle,Label
left,3.960462413149654,169.9160890341178,171.03493054932378,176.85798512945655,166.80239559900193,0.9398379136746651,11.00132285403029,5.921527845611412,9.062949493619,22.260937482668293,Bicep Curl
left,3.328430012144945,166.28662630374393,170.56115354694072,177.10902578826673,166.78648858789063,0.23071527237494488,13.786882125665999,6.183528665092296,9.074016644576645,22.287915756544837,Bicep Curl
left,2.566784082426096,162.50802483969082,170.28690531988568,177.2843217177154,166.79887916122627,0.8109065528399115,16.714431302495342,6.3684978064585875,9.083758609482892,22.2852684875356,Bicep Curl
left,1.423081348451452,156.025418255327,170.16635268203035,177.3952288391622,166.82907541023093,1.943802328685622,22.045584162319294,6.481665522408381,9.08606626109351,22.25737923724197,Bicep Curl
left,0.691021814290227,149.96699447355232,170.15106794303193,177.36873001560005,167.10428279462843,2.7000353587267174,27.343869397121193,6.469096776050421,9.100004255770063,21.99612763351555,Bicep Curl
left,0.32344422922224275,140.80622188398337,170.0884212998974,177.40772340608365,167.20308018318644,3.126425033507372,36.07702349981705,6.471729096997547,9.063660550158668,21.860989662906626,Bicep Curl
left,0.6609335671501719,135.86517134470813,170.11846117472146,177.35012224721666,167.41508863368307,2.809264033772441,41.336096332312586,6.422300412853963,9.071822131304149,21.657153509218144,Bicep Curl
left,1.6713836440967322,109.18236538858434,170.13110637408718,177.34078173959605,167.52990433880277,1.7959108397955594,69.03555816327395,6.416795854931394,9.075635631440587,21.546162064910387,Bicep Curl
left,2.2306720496778207,69.74301145317365,170.14871656943103,177.31042079170072,167.61000031712402,1.2438209822804354,109.03068469849335,6.397470175477119,9.086648570507945,21.477089163618672,Bicep Curl
left,3.9756921620574364,39.8230148986888,170.15059747967578,177.28113361527784,167.66872912613525,0.541820718989874,140.67271781377337,6.374220448609372,9.092665937754186,21.424388055279962,Bicep Curl
left,5.071237553902766,29.85572113789678,170.15306510260845,177.23624487296718,167.68303334514542,1.579649782460139,151.70663063368764,6.343230295937703,9.106547150772721,21.423972624220497,Bicep Curl
left,5.562408734150214,24.610583149620897,170.05835647101662,177.2449072060872,167.6714127400565,1.9795571152966391,157.3547493396373,6.349591683097392,9.104251086510782,21.433298700691026,Bicep Curl
left,5.763243519822322,20.10744922453118,169.9916802182304,177.2480412480463,167.63346621185957,2.106093226711628,161.98507162710916,6.34267610035345,9.094197795464515,21.461192771349946,Bicep Curl
left,5.643770720501078,17.933485366626552,169.98233940277782,177.21302340804252,167.56537543380887,1.9399438663488222,163.9915233355128,6.304320370972167,9.090844555779666,21.525928039206615,Bicep Curl
left,16.02133851875901,177.42080553055933,173.67587110282528,125.69904239256701,143.15105906810345,1.4374496164900146,1.1642038163297577,11.13197719901164,65.42718415534448,28.58121826853696,Bicep Curl
left,29.077951671764012,169.6154012367089,169.73226912087583,160.42613396547125,165.9286729545743,8.71780260859438,1.6758356446324545,10.148977088724768,29.668479845083365,15.59989751063228,Bicep Curl
left,21.67285226151959,162.0016744812667,30.55250863940355,32.681983942634915,161.7304181488343,11.385084547587468,6.615973292967802,139.15831176031452,8.160525927179119,10.112311605202546,Bicep Curl
left,22.06623692195082,163.23456299039137,15.602109319789713,8.368680692290967,142.51203274699768,11.059391701169329,5.709079770392827,153.38918431764728,34.97928174001153,2.5199008295522485,Bicep Curl
left,21.123241964331445,166.3640858281186,24.45143465804089,35.34175516294932,153.3835230597408,9.376749040669006,4.2632162705035475,167.29128095582683,22.639583201560356,3.9846369230080607,Bicep Curl
left,21.753235670653478,164.40101513055254,168.44166178609515,156.94897749998148,153.30889431322376,9.373557971904196,6.2292040799594535,0.8514583115355949,23.87626330478166,2.8250057188339084,Bicep Curl
